record_id,timestamp,service_date,service_week,day_type,time_of_day,mode,route,direction,stop_id,trip_id,status,delay_sec,headway_min,passengers_on,passengers_off
442,2025-01-07 10:13:59,2025-01-07,2,Weekday,Midday,train,T1,Outbound,STN40,T1-20250107-1013-2,late,73,9.0,17,14
26,2025-01-07 13:38:35,2025-01-07,2,Weekday,Midday,bus,B12,EB,STOP891,B12-20250107-1338-3,on_time,-59,19.2,8,3
463,2025-01-07 15:51:29,2025-01-07,2,Weekday,PM Peak,bus,B12,SB,STOP320,B12-20250107-1551-1,late,148,19.1,8,2
428,2025-01-07 17:12:34,2025-01-07,2,Weekday,PM Peak,bus,B10,EB,STOP897,B10-20250107-1712-4,on_time,-21,6.4,5,1
75,2025-01-07 20:33:58,2025-01-07,2,Weekday,Evening,train,T2,Outbound,STN25,T2-20250107-2033-1,on_time,30,8.1,14,8
377,2025-01-07 21:45:53,2025-01-07,2,Weekday,Evening,bus,B10,SB,STOP331,B10-20250107-2145-1,on_time,-27,19.2,7,5
188,2025-01-07 22:26:47,2025-01-07,2,Weekday,Evening,train,T2,Outbound,STN132,T2-20250107-2226-4,early,-135,13.4,12,10
248,2025-01-07 22:32:39,2025-01-07,2,Weekday,Evening,bus,B99,WB,STOP176,B99-20250107-2232-3,early,-187,17.4,2,2
287,2025-01-08 01:02:02,2025-01-08,2,Weekday,Night,train,T1,Inbound,STN15,T1-20250108-0102-1,late,120,6.9,13,19
89,2025-01-08 01:33:46,2025-01-08,2,Weekday,Night,train,T1,Inbound,STN156,T1-20250108-0133-4,late,107,6.3,12,13
179,2025-01-08 02:39:29,2025-01-08,2,Weekday,Night,bus,B52,EB,STOP920,B52-20250108-0239-3,early,-94,17.5,2,4
153,2025-01-08 03:05:16,2025-01-08,2,Weekday,Night,bus,B21,WB,STOP485,B21-20250108-0305-2,on_time,-31,9.8,3,3
441,2025-01-08 04:34:19,2025-01-08,2,Weekday,EarlyAM,bus,B12,EB,STOP116,B12-20250108-0434-3,early,-65,18.6,4,4
35,2025-01-08 05:18:07,2025-01-08,2,Weekday,EarlyAM,bus,B12,WB,STOP472,B12-20250108-0518-4,on_time,44,15.5,3,2
275,2025-01-08 06:38:49,2025-01-08,2,Weekday,AM Peak,bus,B99,NB,STOP700,B99-20250108-0638-4,late,122,15.9,3,4
412,2025-01-08 07:47:16,2025-01-08,2,Weekday,AM Peak,bus,B10,NB,STOP148,B10-20250108-0747-1,late,179,10.1,5,2
456,2025-01-08 08:08:03,2025-01-08,2,Weekday,AM Peak,train,T5,Inbound,STN15,T5-20250108-0808-4,on_time,38,9.3,16,18
122,2025-01-08 08:49:10,2025-01-08,2,Weekday,AM Peak,train,T1,Outbound,STN167,T1-20250108-0849-2,late,146,11.7,13,14
461,2025-01-08 08:56:54,2025-01-08,2,Weekday,AM Peak,bus,B21,EB,STOP479,B21-20250108-0856-4,on_time,11,14.8,6,2
430,2025-01-08 10:21:00,2025-01-08,2,Weekday,Midday,bus,B12,WB,STOP866,B12-20250108-1021-2,late,143,10.4,3,5
88,2025-01-08 12:20:13,2025-01-08,2,Weekday,Midday,train,T1,Outbound,STN31,T1-20250108-1220-3,on_time,-5,4.6,10,23
39,2025-01-08 14:03:32,2025-01-08,2,Weekday,Midday,train,T1,Outbound,STN104,T1-20250108-1403-1,late,191,12.0,18,12
402,2025-01-08 16:15:35,2025-01-08,2,Weekday,PM Peak,train,T3,Outbound,STN161,T3-20250108-1615-1,early,-81,14.5,18,12
97,2025-01-08 16:45:15,2025-01-08,2,Weekday,PM Peak,bus,B52,WB,STOP451,B52-20250108-1645-4,late,73,13.1,1,5
184,2025-01-08 18:53:46,2025-01-08,2,Weekday,PM Peak,bus,B10,EB,STOP939,B10-20250108-1853-3,early,-290,5.9,2,3
189,2025-01-08 19:01:27,2025-01-08,2,Weekday,Evening,bus,B10,NB,STOP607,B10-20250108-1901-3,early,-94,18.0,1,4
476,2025-01-08 21:19:54,2025-01-08,2,Weekday,Evening,train,T3,Outbound,STN144,T3-20250108-2119-4,late,235,3.7,12,23
54,2025-01-08 23:05:22,2025-01-08,2,Weekday,Night,train,T1,Outbound,STN188,T1-20250108-2305-4,on_time,-47,8.2,13,19
420,2025-01-08 23:48:27,2025-01-08,2,Weekday,Night,bus,B99,EB,STOP277,B99-20250108-2348-1,early,-91,13.5,3,5
139,2025-01-09 02:39:56,2025-01-09,2,Weekday,Night,bus,B10,SB,STOP310,B10-20250109-0239-2,late,145,19.9,3,1
4,2025-01-09 05:24:17,2025-01-09,2,Weekday,EarlyAM,bus,B10,NB,STOP134,B10-20250109-0524-2,late,134,18.6,3,5
242,2025-01-09 06:06:50,2025-01-09,2,Weekday,AM Peak,bus,B21,NB,STOP158,B21-20250109-0606-3,early,-89,15.6,1,5
468,2025-01-09 10:08:06,2025-01-09,2,Weekday,Midday,train,T2,Outbound,STN111,T2-20250109-1008-1,late,373,12.9,16,15
394,2025-01-09 10:48:05,2025-01-09,2,Weekday,Midday,bus,B52,EB,STOP647,B52-20250109-1048-4,late,147,6.5,1,2
202,2025-01-09 15:04:14,2025-01-09,2,Weekday,PM Peak,bus,B52,EB,STOP792,B52-20250109-1504-2,on_time,-5,12.9,6,1
339,2025-01-09 16:47:10,2025-01-09,2,Weekday,PM Peak,bus,B12,EB,STOP243,B12-20250109-1647-4,on_time,50,17.2,5,2
212,2025-01-09 17:35:53,2025-01-09,2,Weekday,PM Peak,bus,B99,WB,STOP593,B99-20250109-1735-3,on_time,-34,6.1,8,3
178,2025-01-09 18:25:21,2025-01-09,2,Weekday,PM Peak,bus,B12,SB,STOP134,B12-20250109-1825-2,on_time,-44,18.3,6,2
444,2025-01-10 00:33:37,2025-01-10,2,Weekday,Night,bus,B10,SB,STOP390,B10-20250110-0033-2,on_time,-5,12.8,7,2
335,2025-01-10 00:55:32,2025-01-10,2,Weekday,Night,train,T5,Outbound,STN25,T5-20250110-0055-3,late,228,7.0,6,21
50,2025-01-10 01:47:49,2025-01-10,2,Weekday,Night,bus,B12,WB,STOP534,B12-20250110-0147-4,on_time,17,17.6,7,4
491,2025-01-10 04:22:34,2025-01-10,2,Weekday,EarlyAM,bus,B12,NB,STOP938,B12-20250110-0422-3,early,-240,9.8,4,5
251,2025-01-10 06:09:24,2025-01-10,2,Weekday,AM Peak,bus,B52,NB,STOP794,B52-20250110-0609-1,late,75,14.3,2,4
214,2025-01-10 06:13:32,2025-01-10,2,Weekday,AM Peak,train,T3,Outbound,STN85,T3-20250110-0613-3,late,77,5.7,14,13
41,2025-01-10 06:44:45,2025-01-10,2,Weekday,AM Peak,bus,B10,SB,STOP367,B10-20250110-0644-1,on_time,49,17.2,9,2
409,2025-01-10 07:06:03,2025-01-10,2,Weekday,AM Peak,bus,B12,EB,STOP618,B12-20250110-0706-4,late,134,7.0,3,4
81,2025-01-10 12:40:48,2025-01-10,2,Weekday,Midday,train,T5,Inbound,STN185,T5-20250110-1240-1,late,108,11.2,16,15
83,2025-01-10 13:34:34,2025-01-10,2,Weekday,Midday,train,T1,Outbound,STN175,T1-20250110-1334-3,on_time,-4,5.3,20,19
37,2025-01-10 14:09:50,2025-01-10,2,Weekday,Midday,train,T2,Outbound,STN91,T2-20250110-1409-3,on_time,17,8.0,10,18
223,2025-01-10 17:27:55,2025-01-10,2,Weekday,PM Peak,bus,B52,SB,STOP116,B52-20250110-1727-4,late,181,6.5,4,2
117,2025-01-10 18:53:31,2025-01-10,2,Weekday,PM Peak,bus,B99,WB,STOP660,B99-20250110-1853-4,on_time,28,17.5,7,3
470,2025-01-10 19:08:26,2025-01-10,2,Weekday,Evening,train,T2,Outbound,STN118,T2-20250110-1908-1,early,-191,12.9,14,16
176,2025-01-10 22:00:39,2025-01-10,2,Weekday,Evening,bus,B10,WB,STOP225,B10-20250110-2200-3,on_time,15,13.9,5,1
306,2025-01-10 23:31:38,2025-01-10,2,Weekday,Night,bus,B10,EB,STOP889,B10-20250110-2331-3,on_time,21,15.0,2,1
78,2025-01-11 00:13:26,2025-01-11,2,Weekend,Night,bus,B99,SB,STOP286,B99-20250111-0013-2,early,-126,19.2,6,4
241,2025-01-11 00:46:03,2025-01-11,2,Weekend,Night,bus,B21,EB,STOP835,B21-20250111-0046-2,late,68,5.6,8,1
488,2025-01-11 03:37:06,2025-01-11,2,Weekend,Night,bus,B21,SB,STOP150,B21-20250111-0337-2,on_time,47,9.6,6,2
487,2025-01-11 04:04:51,2025-01-11,2,Weekend,EarlyAM,bus,B99,WB,STOP301,B99-20250111-0404-1,on_time,-21,8.9,3,2
144,2025-01-11 07:16:41,2025-01-11,2,Weekend,AM Peak,train,T2,Outbound,STN83,T2-20250111-0716-4,early,-165,14.2,15,10
213,2025-01-11 09:29:08,2025-01-11,2,Weekend,AM Peak,train,T2,Inbound,STN104,T2-20250111-0929-2,early,-103,4.5,11,14
12,2025-01-11 09:38:18,2025-01-11,2,Weekend,AM Peak,train,T1,Inbound,STN78,T1-20250111-0938-4,on_time,-31,10.6,10,17
403,2025-01-11 10:44:32,2025-01-11,2,Weekend,Midday,train,T3,Inbound,STN87,T3-20250111-1044-2,early,-66,3.2,18,11
483,2025-01-11 13:22:17,2025-01-11,2,Weekend,Midday,bus,B99,EB,STOP226,B99-20250111-1322-1,early,-231,15.1,2,3
280,2025-01-11 17:06:42,2025-01-11,2,Weekend,PM Peak,bus,B99,SB,STOP948,B99-20250111-1706-2,on_time,26,10.4,5,2
22,2025-01-11 18:26:52,2025-01-11,2,Weekend,PM Peak,bus,B52,NB,STOP104,B52-20250111-1826-4,late,144,11.9,3,3
498,2025-01-11 20:25:08,2025-01-11,2,Weekend,Evening,bus,B12,SB,STOP992,B12-20250111-2025-4,early,-209,9.2,6,3
227,2025-01-11 20:31:43,2025-01-11,2,Weekend,Evening,train,T5,Inbound,STN115,T5-20250111-2031-1,on_time,-3,11.9,18,21
85,2025-01-11 21:10:42,2025-01-11,2,Weekend,Evening,train,T2,Inbound,STN97,T2-20250111-2110-3,on_time,29,12.8,25,17
79,2025-01-11 22:36:52,2025-01-11,2,Weekend,Evening,bus,B21,WB,STOP852,B21-20250111-2236-1,late,170,19.4,4,3
48,2025-01-11 23:30:59,2025-01-11,2,Weekend,Night,bus,B99,WB,STOP468,B99-20250111-2330-4,late,105,13.5,6,1
346,2025-01-12 01:33:16,2025-01-12,2,Weekend,Night,bus,B52,WB,STOP197,B52-20250112-0133-3,on_time,41,7.5,1,1
135,2025-01-12 04:02:51,2025-01-12,2,Weekend,EarlyAM,bus,B12,EB,STOP737,B12-20250112-0402-3,on_time,-17,17.6,4,3
150,2025-01-12 05:11:48,2025-01-12,2,Weekend,EarlyAM,train,T3,Outbound,STN58,T3-20250112-0511-4,late,246,5.4,10,18
342,2025-01-12 05:44:11,2025-01-12,2,Weekend,EarlyAM,train,T1,Outbound,STN10,T1-20250112-0544-3,on_time,40,8.7,11,17
311,2025-01-12 05:45:46,2025-01-12,2,Weekend,EarlyAM,bus,B12,WB,STOP966,B12-20250112-0545-1,late,121,17.1,9,4
490,2025-01-12 05:56:30,2025-01-12,2,Weekend,EarlyAM,train,T2,Outbound,STN175,T2-20250112-0556-2,early,-101,11.2,20,11
298,2025-01-12 06:04:49,2025-01-12,2,Weekend,AM Peak,bus,B52,NB,STOP420,B52-20250112-0604-3,on_time,52,14.8,3,2
244,2025-01-12 09:58:51,2025-01-12,2,Weekend,AM Peak,train,T2,Outbound,STN53,T2-20250112-0958-2,early,-265,11.9,18,16
433,2025-01-12 10:23:07,2025-01-12,2,Weekend,Midday,train,T5,Outbound,STN120,T5-20250112-1023-4,early,-95,14.8,8,16
314,2025-01-12 12:37:16,2025-01-12,2,Weekend,Midday,train,T3,Outbound,STN178,T3-20250112-1237-4,late,266,5.2,12,17
200,2025-01-12 14:25:55,2025-01-12,2,Weekend,Midday,bus,B99,EB,STOP764,B99-20250112-1425-4,early,-86,16.6,9,2
113,2025-01-12 16:26:29,2025-01-12,2,Weekend,PM Peak,bus,B12,WB,STOP135,B12-20250112-1626-1,early,-69,11.4,6,5
458,2025-01-12 16:27:54,2025-01-12,2,Weekend,PM Peak,bus,B12,EB,STOP462,B12-20250112-1627-2,late,116,6.1,3,2
315,2025-01-12 17:46:05,2025-01-12,2,Weekend,PM Peak,bus,B99,NB,STOP829,B99-20250112-1746-4,early,-92,8.2,2,3
233,2025-01-12 17:54:10,2025-01-12,2,Weekend,PM Peak,bus,B99,WB,STOP813,B99-20250112-1754-3,late,68,19.1,2,3
369,2025-01-12 19:28:31,2025-01-12,2,Weekend,Evening,train,T2,Outbound,STN126,T2-20250112-1928-2,on_time,-49,7.7,20,11
365,2025-01-12 20:46:37,2025-01-12,2,Weekend,Evening,train,T2,Inbound,STN61,T2-20250112-2046-1,late,94,12.5,20,17
3,2025-01-12 22:13:58,2025-01-12,2,Weekend,Evening,bus,B12,SB,STOP931,B12-20250112-2213-4,early,-243,12.0,0,2
290,2025-01-12 23:48:32,2025-01-12,2,Weekend,Night,bus,B10,SB,STOP504,B10-20250112-2348-1,on_time,40,19.2,4,0
17,2025-01-13 12:50:14,2025-01-13,3,Weekday,Midday,bus,B52,NB,STOP915,B52-20250113-1250-4,early,-115,16.2,6,6
257,2025-01-13 15:09:27,2025-01-13,3,Weekday,PM Peak,train,T5,Inbound,STN135,T5-20250113-1509-4,late,65,5.0,11,19
63,2025-01-13 15:39:33,2025-01-13,3,Weekday,PM Peak,bus,B99,SB,STOP542,B99-20250113-1539-2,late,97,12.6,9,2
1,2025-01-13 21:20:20,2025-01-13,3,Weekday,Evening,bus,B10,NB,STOP960,B10-20250113-2120-1,on_time,-28,7.8,4,3
143,2025-01-14 00:57:51,2025-01-14,3,Weekday,Night,bus,B21,EB,STOP177,B21-20250114-0057-4,on_time,36,16.2,8,3
473,2025-01-14 02:49:10,2025-01-14,3,Weekday,Night,bus,B52,EB,STOP602,B52-20250114-0249-2,early,-228,10.9,5,2
80,2025-01-14 04:53:22,2025-01-14,3,Weekday,EarlyAM,bus,B21,WB,STOP734,B21-20250114-0453-2,early,-68,6.9,6,3
115,2025-01-14 07:33:33,2025-01-14,3,Weekday,AM Peak,train,T3,Outbound,STN169,T3-20250114-0733-2,early,-65,10.7,10,16
397,2025-01-14 08:40:13,2025-01-14,3,Weekday,AM Peak,train,T2,Outbound,STN80,T2-20250114-0840-4,on_time,30,7.7,16,17
322,2025-01-14 14:44:11,2025-01-14,3,Weekday,Midday,bus,B10,EB,STOP432,B10-20250114-1444-4,late,69,19.9,4,4
464,2025-01-14 18:41:53,2025-01-14,3,Weekday,PM Peak,bus,B99,WB,STOP668,B99-20250114-1841-1,on_time,-20,6.3,5,4
228,2025-01-14 19:01:38,2025-01-14,3,Weekday,Evening,bus,B99,SB,STOP370,B99-20250114-1901-3,late,252,17.3,5,3
252,2025-01-15 00:15:17,2025-01-15,3,Weekday,Night,bus,B99,WB,STOP670,B99-20250115-0015-4,late,106,15.5,3,4
493,2025-01-15 00:54:18,2025-01-15,3,Weekday,Night,bus,B52,NB,STOP384,B52-20250115-0054-3,on_time,-43,13.2,4,3
123,2025-01-15 01:34:16,2025-01-15,3,Weekday,Night,bus,B99,SB,STOP305,B99-20250115-0134-4,early,-86,19.6,5,4
401,2025-01-15 01:52:23,2025-01-15,3,Weekday,Night,train,T5,Inbound,STN129,T5-20250115-0152-4,early,-89,13.5,14,11
86,2025-01-15 02:31:17,2025-01-15,3,Weekday,Night,bus,B10,NB,STOP623,B10-20250115-0231-3,late,189,6.0,2,6
419,2025-01-15 05:33:22,2025-01-15,3,Weekday,EarlyAM,bus,B52,EB,STOP944,B52-20250115-0533-2,late,79,8.2,6,2
424,2025-01-15 07:43:38,2025-01-15,3,Weekday,AM Peak,bus,B52,SB,STOP605,B52-20250115-0743-4,late,143,19.0,4,4
171,2025-01-15 14:20:49,2025-01-15,3,Weekday,Midday,train,T2,Inbound,STN11,T2-20250115-1420-3,on_time,27,11.0,15,9
220,2025-01-15 15:40:08,2025-01-15,3,Weekday,PM Peak,train,T1,Outbound,STN89,T1-20250115-1540-3,on_time,54,4.6,10,17
114,2025-01-15 18:14:41,2025-01-15,3,Weekday,PM Peak,bus,B10,WB,STOP763,B10-20250115-1814-1,on_time,7,17.3,3,4
208,2025-01-15 18:58:43,2025-01-15,3,Weekday,PM Peak,bus,B21,SB,STOP550,B21-20250115-1858-2,on_time,27,18.4,4,6
62,2025-01-15 21:00:29,2025-01-15,3,Weekday,Evening,train,T1,Outbound,STN112,T1-20250115-2100-1,early,-68,12.0,15,20
375,2025-01-15 22:23:03,2025-01-15,3,Weekday,Evening,bus,B12,EB,STOP341,B12-20250115-2223-1,early,-122,5.9,5,2
479,2025-01-15 22:59:57,2025-01-15,3,Weekday,Evening,bus,B12,WB,STOP980,B12-20250115-2259-3,early,-70,14.1,4,4
108,2025-01-16 01:01:52,2025-01-16,3,Weekday,Night,train,T1,Inbound,STN32,T1-20250116-0101-1,late,172,8.2,10,13
9,2025-01-16 05:00:47,2025-01-16,3,Weekday,EarlyAM,train,T2,Outbound,STN53,T2-20250116-0500-3,early,-84,8.0,12,14
87,2025-01-16 08:07:21,2025-01-16,3,Weekday,AM Peak,train,T2,Inbound,STN120,T2-20250116-0807-3,late,81,8.9,15,12
203,2025-01-16 09:44:23,2025-01-16,3,Weekday,AM Peak,bus,B99,SB,STOP104,B99-20250116-0944-2,early,-192,12.5,3,4
111,2025-01-16 10:15:14,2025-01-16,3,Weekday,Midday,bus,B52,SB,STOP498,B52-20250116-1015-4,early,-90,8.7,3,5
406,2025-01-16 12:02:13,2025-01-16,3,Weekday,Midday,bus,B10,SB,STOP650,B10-20250116-1202-3,on_time,-9,18.9,5,5
95,2025-01-16 12:49:23,2025-01-16,3,Weekday,Midday,bus,B10,WB,STOP350,B10-20250116-1249-4,late,258,12.3,2,3
116,2025-01-16 17:20:38,2025-01-16,3,Weekday,PM Peak,bus,B21,WB,STOP266,B21-20250116-1720-3,on_time,19,15.9,6,4
482,2025-01-16 17:54:31,2025-01-16,3,Weekday,PM Peak,bus,B99,EB,STOP176,B99-20250116-1754-1,early,-79,17.9,5,5
467,2025-01-16 18:36:45,2025-01-16,3,Weekday,PM Peak,bus,B10,WB,STOP788,B10-20250116-1836-1,late,85,5.6,3,2
361,2025-01-16 18:47:37,2025-01-16,3,Weekday,PM Peak,bus,B12,SB,STOP546,B12-20250116-1847-1,early,-100,13.6,1,3
68,2025-01-16 20:05:55,2025-01-16,3,Weekday,Evening,train,T3,Outbound,STN35,T3-20250116-2005-3,early,-109,3.8,18,16
71,2025-01-17 00:22:21,2025-01-17,3,Weekday,Night,train,T2,Inbound,STN26,T2-20250117-0022-1,late,154,14.4,18,17
67,2025-01-17 00:27:02,2025-01-17,3,Weekday,Night,bus,B12,NB,STOP776,B12-20250117-0027-1,early,-107,14.8,6,4
449,2025-01-17 00:47:30,2025-01-17,3,Weekday,Night,bus,B10,EB,STOP115,B10-20250117-0047-3,on_time,60,13.3,3,3
56,2025-01-17 01:02:36,2025-01-17,3,Weekday,Night,bus,B99,EB,STOP256,B99-20250117-0102-3,early,-102,8.4,5,3
124,2025-01-17 02:12:47,2025-01-17,3,Weekday,Night,bus,B10,NB,STOP679,B10-20250117-0212-3,late,315,6.2,4,1
102,2025-01-17 02:44:07,2025-01-17,3,Weekday,Night,bus,B12,WB,STOP985,B12-20250117-0244-3,on_time,30,7.5,4,1
191,2025-01-17 03:23:57,2025-01-17,3,Weekday,Night,bus,B21,EB,STOP570,B21-20250117-0323-4,early,-115,15.8,2,6
182,2025-01-17 03:51:33,2025-01-17,3,Weekday,Night,train,T2,Outbound,STN29,T2-20250117-0351-2,late,137,8.6,10,20
399,2025-01-17 04:09:13,2025-01-17,3,Weekday,EarlyAM,bus,B21,WB,STOP234,B21-20250117-0409-3,early,-120,9.7,6,3
360,2025-01-17 05:16:24,2025-01-17,3,Weekday,EarlyAM,bus,B99,NB,STOP308,B99-20250117-0516-4,late,81,11.4,5,3
15,2025-01-17 05:48:52,2025-01-17,3,Weekday,EarlyAM,bus,B12,EB,STOP996,B12-20250117-0548-2,on_time,31,6.4,7,3
193,2025-01-17 09:00:41,2025-01-17,3,Weekday,AM Peak,train,T5,Inbound,STN92,T5-20250117-0900-1,on_time,9,13.9,22,17
454,2025-01-17 12:49:17,2025-01-17,3,Weekday,Midday,train,T2,Outbound,STN148,T2-20250117-1249-3,late,63,10.0,15,11
99,2025-01-17 13:26:04,2025-01-17,3,Weekday,Midday,bus,B10,WB,STOP873,B10-20250117-1326-1,late,149,14.8,5,2
310,2025-01-17 15:07:58,2025-01-17,3,Weekday,PM Peak,bus,B52,EB,STOP310,B52-20250117-1507-2,on_time,-4,17.5,4,3
379,2025-01-17 16:44:49,2025-01-17,3,Weekday,PM Peak,bus,B52,NB,STOP715,B52-20250117-1644-2,late,164,13.4,4,7
404,2025-01-17 17:30:44,2025-01-17,3,Weekday,PM Peak,bus,B52,NB,STOP538,B52-20250117-1730-3,early,-79,17.9,6,4
154,2025-01-17 17:36:10,2025-01-17,3,Weekday,PM Peak,train,T3,Inbound,STN28,T3-20250117-1736-3,on_time,58,13.6,17,11
382,2025-01-17 19:17:24,2025-01-17,3,Weekday,Evening,train,T5,Outbound,STN106,T5-20250117-1917-2,on_time,-23,4.0,21,19
51,2025-01-18 01:28:07,2025-01-18,3,Weekend,Night,bus,B10,NB,STOP749,B10-20250118-0128-3,early,-72,19.8,7,4
336,2025-01-18 04:42:12,2025-01-18,3,Weekend,EarlyAM,train,T3,Inbound,STN51,T3-20250118-0442-4,late,90,13.3,12,18
288,2025-01-18 07:36:26,2025-01-18,3,Weekend,AM Peak,bus,B21,WB,STOP979,B21-20250118-0736-1,late,130,14.3,5,1
84,2025-01-18 09:11:02,2025-01-18,3,Weekend,AM Peak,bus,B10,SB,STOP455,B10-20250118-0911-2,late,66,13.3,1,2
340,2025-01-18 09:23:18,2025-01-18,3,Weekend,AM Peak,bus,B10,SB,STOP694,B10-20250118-0923-2,on_time,32,18.1,6,3
167,2025-01-18 15:04:05,2025-01-18,3,Weekend,PM Peak,bus,B21,SB,STOP531,B21-20250118-1504-1,on_time,35,9.2,3,1
283,2025-01-18 17:03:01,2025-01-18,3,Weekend,PM Peak,train,T2,Outbound,STN108,T2-20250118-1703-4,late,138,7.3,8,11
20,2025-01-18 19:31:56,2025-01-18,3,Weekend,Evening,bus,B10,WB,STOP917,B10-20250118-1931-3,on_time,46,18.0,1,1
266,2025-01-18 19:45:28,2025-01-18,3,Weekend,Evening,train,T2,Outbound,STN68,T2-20250118-1945-2,on_time,55,5.9,17,18
57,2025-01-18 20:21:59,2025-01-18,3,Weekend,Evening,bus,B99,NB,STOP462,B99-20250118-2021-4,late,293,7.3,0,6
321,2025-01-18 21:22:26,2025-01-18,3,Weekend,Evening,bus,B52,NB,STOP134,B52-20250118-2122-4,on_time,-41,5.8,2,0
393,2025-01-18 22:38:14,2025-01-18,3,Weekend,Evening,bus,B52,NB,STOP467,B52-20250118-2238-3,late,62,19.2,6,5
295,2025-01-18 23:17:09,2025-01-18,3,Weekend,Night,bus,B21,NB,STOP886,B21-20250118-2317-2,late,62,15.5,4,5
305,2025-01-19 00:14:24,2025-01-19,3,Weekend,Night,train,T3,Inbound,STN96,T3-20250119-0014-3,early,-138,11.7,9,21
138,2025-01-19 03:52:24,2025-01-19,3,Weekend,Night,train,T5,Inbound,STN21,T5-20250119-0352-3,early,-102,11.9,24,13
341,2025-01-19 06:31:14,2025-01-19,3,Weekend,AM Peak,bus,B21,NB,STOP174,B21-20250119-0631-4,on_time,-15,17.9,6,5
77,2025-01-19 06:55:51,2025-01-19,3,Weekend,AM Peak,train,T5,Inbound,STN186,T5-20250119-0655-4,early,-120,4.3,12,14
159,2025-01-19 15:21:07,2025-01-19,3,Weekend,PM Peak,bus,B12,WB,STOP728,B12-20250119-1521-2,on_time,42,11.1,6,4
293,2025-01-19 18:30:30,2025-01-19,3,Weekend,PM Peak,train,T1,Outbound,STN167,T1-20250119-1830-3,on_time,-1,6.4,14,14
100,2025-01-19 19:28:55,2025-01-19,3,Weekend,Evening,bus,B21,NB,STOP927,B21-20250119-1928-1,on_time,-15,11.1,4,2
147,2025-01-19 19:42:48,2025-01-19,3,Weekend,Evening,bus,B10,SB,STOP765,B10-20250119-1942-1,on_time,49,11.3,3,4
383,2025-01-19 20:12:58,2025-01-19,3,Weekend,Evening,bus,B10,NB,STOP714,B10-20250119-2012-4,on_time,-13,19.1,7,2
398,2025-01-19 21:22:38,2025-01-19,3,Weekend,Evening,bus,B52,WB,STOP303,B52-20250119-2122-4,early,-116,7.4,2,0
371,2025-01-19 23:47:23,2025-01-19,3,Weekend,Night,train,T1,Inbound,STN128,T1-20250119-2347-2,late,157,14.4,19,7
121,2025-01-20 01:13:57,2025-01-20,4,Weekday,Night,train,T3,Inbound,STN15,T3-20250120-0113-2,early,-239,14.0,15,15
240,2025-01-20 01:23:14,2025-01-20,4,Weekday,Night,bus,B21,SB,STOP758,B21-20250120-0123-4,late,211,17.8,0,2
253,2025-01-20 09:28:07,2025-01-20,4,Weekday,AM Peak,train,T5,Inbound,STN170,T5-20250120-0928-4,early,-117,10.3,14,16
356,2025-01-20 11:02:05,2025-01-20,4,Weekday,Midday,train,T2,Outbound,STN190,T2-20250120-1102-1,on_time,-49,6.4,14,17
439,2025-01-20 12:36:46,2025-01-20,4,Weekday,Midday,train,T5,Inbound,STN183,T5-20250120-1236-3,early,-152,13.1,19,16
345,2025-01-20 14:53:54,2025-01-20,4,Weekday,Midday,train,T3,Outbound,STN45,T3-20250120-1453-2,late,115,5.8,21,7
